01/01/2020,Wed,5 44,7 07,1 10,4 34,7 10,8 25
02/01/2020,Thurs,5 44,7 08,1 10,4 34,7 11,8 26
03/01/2020,Fri,5 45,7 08,1 11,4 35,7 11,8 26
04/01/2020,Sat,5 46,7 09,1 11,4 35,7 12,8 26
05/01/2020,Sun,5 46,7 09,1 12,4 36,7 12,8 27
06/01/2020,Mon,5 47,7 10,1 12,4 36,7 13,8 27
07/01/2020,Tues,5 47,7 10,1 13,4 36,7 13,8 27
08/01/2020,Wed,5 48,7 10,1 13,4 37,7 14,8 28
09/01/2020,Thurs,5 48,7 11,1 14,4 37,7 14,8 28
10/01/2020,Fri,5 48,7 11,1 14,4 37,7 14,8 29
11/01/2020,Sat,5 49,7 12,1 14,4 38,7 15,8 29
12/01/2020,Sun,5 49,7 12,1 15,4 38,7 15,8 29
13/01/2020,Mon,5 50,7 12,1 15,4 38,7 16,8 29
14/01/2020,Tues,5 50,7 13,1 15,4 39,7 16,8 30
15/01/2020,Wed,5 51,7 13,1 16,4 39,7 16,8 30
16/01/2020,Thurs,5 51,7 13,1 16,4 39,7 17,8 30
17/01/2020,Fri,5 52,7 14,1 16,4 39,7 17,8 31
18/01/2020,Sat,5 52,7 14,1 17,4 40,7 17,8 31
19/01/2020,Sun,5 52,7 14,1 17,4 40,7 18,8 31
20/01/2020,Mon,5 53,7 15,1 17,4 40,7 18,8 31
21/01/2020,Tues,5 53,7 15,1 18,4 40,7 18,8 31
22/01/2020,Wed,5 54,7 15,1 18,4 40,7 19,8 32
23/01/2020,Thurs,5 54,7 15,1 18,4 41,7 19,8 32
24/01/2020,Fri,5 54,7 16,1 18,4 41,7 19,8 32
25/01/2020,Sat,5 55,7 16,1 19,4 41,7 19,8 32
26/01/2020,Sun,5 55,7 16,1 19,4 41,7 20,8 32
27/01/2020,Mon,5 55,7 16,1 19,4 41,7 20,8 32
28/01/2020,Tues,5 56,7 16,1 19,4 41,7 20,8 32
29/01/2020,Wed,5 56,7 17,1 19,4 41,7 20,8 32
30/01/2020,Thurs,5 56,7 17,1 20,4 41,7 20,8 33
31/01/2020,Fri,5 56,7 17,1 20,4 41,7 21,8 33
01/02/2020,Sat,5 57,7 17,1 20,4 41,7 21,8 33
02/02/2020,Sun,5 57,7 17,1 20,4 41,7 21,8 33
03/02/2020,Mon,5 57,7 17,1 20,4 41,7 21,8 33
04/02/2020,Tues,5 57,7 17,1 20,4 41,7 21,8 33
05/02/2020,Wed,5 57,7 17,1 20,4 41,7 21,8 33
06/02/2020,Thurs,5 58,7 17,1 20,4 41,7 21,8 33
07/02/2020,Fri,5 58,7 17,1 20,4 40,7 21,8 33
08/02/2020,Sat,5 58,7 17,1 20,4 40,7 22,8 33
09/02/2020,Sun,5 58,7 17,1 20,4 40,7 22,8 33
10/02/2020,Mon,5 58,7 17,1 21,4 40,7 22,8 32
11/02/2020,Tues,5 58,7 17,1 21,4 39,7 22,8 32
12/02/2020,Wed,5 58,7 17,1 21,4 39,7 22,8 32
13/02/2020,Thurs,5 58,7 17,1 20,4 39,7 22,8 32
14/02/2020,Fri,5 58,7 17,1 20,4 39,7 22,8 32
15/02/2020,Sat,5 58,7 17,1 20,4 38,7 22,8 32
16/02/2020,Sun,5 58,7 17,1 20,4 38,7 22,8 32
17/02/2020,Mon,5 59,7 17,1 20,4 37,7 22,8 32
18/02/2020,Tues,5 58,7 17,1 20,4 37,7 21,8 32
19/02/2020,Wed,5 58,7 17,1 20,4 37,7 21,8 31
20/02/2020,Thurs,5 58,7 16,1 20,4 36,7 21,8 31
21/02/2020,Fri,5 58,7 16,1 20,4 36,7 21,8 31
22/02/2020,Sat,5 58,7 16,1 20,4 35,7 21,8 31
23/02/2020,Sun,5 58,7 16,1 20,4 35,7 21,8 31
24/02/2020,Mon,5 58,7 16,1 19,4 34,7 21,8 31
25/02/2020,Tues,5 58,7 16,1 19,4 34,7 21,8 30
26/02/2020,Wed,5 58,7 15,1 19,4 33,7 21,8 30
27/02/2020,Thurs,5 58,7 15,1 19,4 32,7 21,8 30
