day,month,year,"country_id",hijrah_day,hijrah_month,hijrah_year
1,1,2012,"SG",7,2,1433
1,1,2013,"SG",17,2,1434
1,1,2014,"SG",28,2,1435
1,1,2015,"SG",10,3,1436
1,1,2016,"SG",20,3,1438
1,1,2017,"SG",2,4,1438
1,2,2012,"SG",8,3,1433
1,2,2013,"SG",19,3,1434
1,2,2014,"SG",0,3,1435
1,2,2015,"SG",11,4,1436
1,2,2016,"SG",22,4,1438
1,2,2017,"SG",4,5,1438
1,3,2012,"SG",8,4,1433
1,3,2013,"SG",18,4,1434
1,3,2014,"SG",28,4,1435
1,3,2015,"SG",10,5,1436
1,3,2016,"SG",21,5,1438
1,3,2017,"SG",2,6,1438
1,4,2012,"SG",9,5,1433
1,4,2013,"SG",20,5,1434
1,4,2014,"SG",0,5,1435
1,4,2015,"SG",11,6,1436
1,4,2016,"SG",23,6,1438
1,4,2017,"SG",4,7,1438
1,5,2012,"SG",9,6,1433
1,5,2013,"SG",20,6,1434
1,5,2014,"SG",0,6,1435
1,5,2015,"SG",12,7,1436
1,5,2016,"SG",23,7,1438
1,5,2017,"SG",4,8,1438
1,6,2012,"SG",11,7,1433
1,6,2013,"SG",22,7,1434
1,6,2014,"SG",2,8,1435
1,6,2015,"SG",14,8,1436
1,6,2016,"SG",25,8,1438
1,6,2017,"SG",6,9,1438
1,7,2012,"SG",11,8,1433
1,7,2013,"SG",22,8,1434
1,7,2014,"SG",3,9,1435
1,7,2015,"SG",14,9,1436
1,7,2016,"SG",26,9,1438
1,7,2017,"SG",7,10,1438
1,8,2012,"SG",11,9,1433
1,8,2013,"SG",23,9,1434
1,8,2014,"SG",5,10,1435
1,8,2015,"SG",16,10,1436
1,8,2016,"SG",27,10,1438
1,8,2017,"SG",8,11,1438
1,9,2012,"SG",14,10,1433
1,9,2013,"SG",25,10,1434
1,9,2014,"SG",6,11,1435
1,9,2015,"SG",17,11,1436
1,9,2016,"SG",29,11,1438
1,9,2017,"SG",10,12,1438
1,10,2012,"SG",14,11,1433
1,10,2013,"SG",25,11,1434
1,10,2014,"SG",6,12,1435
1,10,2015,"SG",17,12,1436
1,10,2016,"SG",29,12,1438
1,10,2017,"SG",10,1,1439
1,11,2012,"SG",16,12,1433
1,11,2013,"SG",27,12,1434
1,11,2014,"SG",8,1,1436
1,11,2015,"SG",19,1,1437
1,11,2016,"SG",1,2,1439
1,11,2017,"SG",12,2,1439
1,12,2012,"SG",17,1,1434
1,12,2013,"SG",27,1,1435
1,12,2014,"SG",8,2,1436
1,12,2015,"SG",19,2,1437
1,12,2016,"SG",1,3,1439
1,12,2017,"SG",12,3,1439
1,13,2012,"SG",17,1,1434
2,1,2012,"SG",8,2,1433
2,1,2013,"SG",18,2,1434
2,1,2014,"SG",29,2,1435
2,1,2015,"SG",11,3,1436
2,1,2016,"SG",21,3,1438
2,1,2017,"SG",3,4,1438
2,2,2012,"SG",9,3,1433
2,2,2013,"SG",20,3,1434
2,2,2014,"SG",1,4,1435
2,2,2015,"SG",12,4,1436
2,2,2016,"SG",23,4,1438
2,2,2017,"SG",5,5,1438
2,3,2012,"SG",9,4,1433
2,3,2013,"SG",19,4,1434
2,3,2014,"SG",29,4,1435
2,3,2015,"SG",11,5,1436
2,3,2016,"SG",22,5,1438
2,3,2017,"SG",3,6,1438
2,4,2012,"SG",10,5,1433
2,4,2013,"SG",21,5,1434
2,4,2014,"SG",1,6,1435
2,4,2015,"SG",12,6,1436
2,4,2016,"SG",24,6,1438
2,4,2017,"SG",5,7,1438
2,5,2012,"SG",10,6,1433
2,5,2013,"SG",21,6,1434
2,5,2014,"SG",1,7,1435
2,5,2015,"SG",13,7,1436
2,5,2016,"SG",24,7,1438
2,5,2017,"SG",5,8,1438
2,6,2012,"SG",12,7,1433
2,6,2013,"SG",23,7,1434
2,6,2014,"SG",3,8,1435
2,6,2015,"SG",15,8,1436
2,6,2016,"SG",26,8,1438
2,6,2017,"SG",7,9,1438
2,7,2012,"SG",12,8,1433
2,7,2013,"SG",23,8,1434
2,7,2014,"SG",4,9,1435
2,7,2015,"SG",15,9,1436
2,7,2016,"SG",27,9,1438
2,7,2017,"SG",8,10,1438
2,8,2012,"SG",12,9,1433
2,8,2013,"SG",24,9,1434
2,8,2014,"SG",6,10,1435
2,8,2015,"SG",17,10,1436
2,8,2016,"SG",28,10,1438
2,8,2017,"SG",9,11,1438
2,9,2012,"SG",15,10,1433
2,9,2013,"SG",26,10,1434
2,9,2014,"SG",7,11,1435
2,9,2015,"SG",18,11,1436
2,9,2016,"SG",30,11,1438
2,9,2017,"SG",11,12,1438
2,10,2012,"SG",15,11,1433
2,10,2013,"SG",26,11,1434
2,10,2014,"SG",7,12,1435
2,10,2015,"SG",18,12,1436
2,10,2016,"SG",1,1,1439
2,10,2017,"SG",11,1,1439
2,11,2012,"SG",17,12,1433
2,11,2013,"SG",28,12,1434
2,11,2014,"SG",9,1,1436
2,11,2015,"SG",20,1,1437
2,11,2016,"SG",2,2,1439
2,11,2017,"SG",13,2,1439
2,12,2012,"SG",18,1,1434
2,12,2013,"SG",28,1,1435
2,12,2014,"SG",9,2,1436
2,12,2015,"SG",20,2,1437
2,12,2016,"SG",2,3,1439
2,12,2017,"SG",13,3,1439
2,13,2012,"SG",18,1,1434
3,1,2012,"SG",9,2,1433
3,1,2013,"SG",19,2,1434
3,1,2014,"SG",1,3,1435
3,1,2015,"SG",12,3,1436
3,1,2016,"SG",22,3,1438
3,1,2017,"SG",4,4,1438
3,2,2012,"SG",10,3,1433
3,2,2013,"SG",21,3,1434
3,2,2014,"SG",2,4,1435
3,2,2015,"SG",13,4,1436
3,2,2016,"SG",24,4,1438
3,2,2017,"SG",6,5,1438
3,3,2012,"SG",10,4,1433
3,3,2013,"SG",20,4,1434
3,3,2014,"SG",1,5,1435
3,3,2015,"SG",12,5,1436
3,3,2016,"SG",23,5,1438
3,3,2017,"SG",4,6,1438
3,4,2012,"SG",11,5,1433
3,4,2013,"SG",22,5,1434
3,4,2014,"SG",2,6,1435
3,4,2015,"SG",13,6,1436
3,4,2016,"SG",25,6,1438
3,4,2017,"SG",6,7,1438
3,5,2012,"SG",11,6,1433
3,5,2013,"SG",22,6,1434
3,5,2014,"SG",2,7,1435
3,5,2015,"SG",14,7,1436
3,5,2016,"SG",25,7,1438
3,5,2017,"SG",6,8,1438
3,6,2012,"SG",13,7,1433
3,6,2013,"SG",24,7,1434
3,6,2014,"SG",4,8,1435
3,6,2015,"SG",16,8,1436
3,6,2016,"SG",27,8,1438
3,6,2017,"SG",8,9,1438
3,7,2012,"SG",13,8,1433
3,7,2013,"SG",24,8,1434
3,7,2014,"SG",5,9,1435
3,7,2015,"SG",16,9,1436
3,7,2016,"SG",28,9,1438
3,7,2017,"SG",9,10,1438
3,8,2012,"SG",13,9,1433
3,8,2013,"SG",25,9,1434
3,8,2014,"SG",7,10,1435
3,8,2015,"SG",18,10,1436
3,8,2016,"SG",29,10,1438
3,8,2017,"SG",10,11,1438
3,9,2012,"SG",16,10,1433
3,9,2013,"SG",27,10,1434
3,9,2014,"SG",8,11,1435
3,9,2015,"SG",19,11,1436
3,9,2016,"SG",1,12,1438
3,9,2017,"SG",12,12,1438
3,10,2012,"SG",16,11,1433
3,10,2013,"SG",27,11,1434
3,10,2014,"SG",8,12,1435
3,10,2015,"SG",19,12,1436
3,10,2016,"SG",2,1,1439
3,10,2017,"SG",12,1,1439
3,11,2012,"SG",18,12,1433
3,11,2013,"SG",29,12,1434
3,11,2014,"SG",10,1,1436
3,11,2015,"SG",21,1,1437
3,11,2016,"SG",3,2,1439
3,11,2017,"SG",14,2,1439
3,12,2012,"SG",19,1,1434
3,12,2013,"SG",29,1,1435
3,12,2014,"SG",10,2,1436
3,12,2015,"SG",21,2,1437
3,12,2016,"SG",3,3,1439
3,12,2017,"SG",14,3,1439
3,13,2012,"SG",19,1,1434
4,1,2012,"SG",10,2,1433
4,1,2013,"SG",20,2,1434
4,1,2014,"SG",2,3,1435
4,1,2015,"SG",13,3,1436
4,1,2016,"SG",23,3,1438
4,1,2017,"SG",5,4,1438
4,2,2012,"SG",11,3,1433
4,2,2013,"SG",22,3,1434
4,2,2014,"SG",3,4,1435
4,2,2015,"SG",14,4,1436
4,2,2016,"SG",25,4,1438
4,2,2017,"SG",7,5,1438
4,3,2012,"SG",11,4,1433
4,3,2013,"SG",21,4,1434
4,3,2014,"SG",2,5,1435
4,3,2015,"SG",13,5,1436
4,3,2016,"SG",24,5,1438
4,3,2017,"SG",5,6,1438
4,4,2012,"SG",12,5,1433
4,4,2013,"SG",23,5,1434
4,4,2014,"SG",3,6,1435
4,4,2015,"SG",14,6,1436
4,4,2016,"SG",26,6,1438
4,4,2017,"SG",7,7,1438
4,5,2012,"SG",12,6,1433
4,5,2013,"SG",23,6,1434
4,5,2014,"SG",3,7,1435
4,5,2015,"SG",15,7,1436
4,5,2016,"SG",26,7,1438
4,5,2017,"SG",7,8,1438
4,6,2012,"SG",14,7,1433
4,6,2013,"SG",25,7,1434
4,6,2014,"SG",5,8,1435
4,6,2015,"SG",17,8,1436
4,6,2016,"SG",28,8,1438
4,6,2017,"SG",9,9,1438
4,7,2012,"SG",14,8,1433
4,7,2013,"SG",25,8,1434
4,7,2014,"SG",6,9,1435
4,7,2015,"SG",17,9,1436
4,7,2016,"SG",29,9,1438
4,7,2017,"SG",10,10,1438
4,8,2012,"SG",14,9,1433
4,8,2013,"SG",26,9,1434
4,8,2014,"SG",8,10,1435
4,8,2015,"SG",19,10,1436
4,8,2016,"SG",1,11,1438
4,8,2017,"SG",11,11,1438
4,9,2012,"SG",17,10,1433
4,9,2013,"SG",28,10,1434
4,9,2014,"SG",9,11,1435
4,9,2015,"SG",20,11,1436
4,9,2016,"SG",2,12,1438
4,9,2017,"SG",13,12,1438
4,10,2012,"SG",17,11,1433
4,10,2013,"SG",28,11,1434
4,10,2014,"SG",9,12,1435
4,10,2015,"SG",20,12,1436
4,10,2016,"SG",3,1,1439
4,10,2017,"SG",13,1,1439
4,11,2012,"SG",19,12,1433
4,11,2013,"SG",30,12,1434
4,11,2014,"SG",11,1,1436
4,11,2015,"SG",22,1,1437
4,11,2016,"SG",4,2,1439
4,11,2017,"SG",15,2,1439
4,12,2012,"SG",20,1,1434
4,12,2013,"SG",1,2,1435
4,12,2014,"SG",11,2,1436
4,12,2015,"SG",22,2,1437
4,12,2016,"SG",4,3,1439
4,12,2017,"SG",15,3,1439
4,13,2012,"SG",20,1,1434
5,1,2012,"SG",11,2,1433
5,1,2013,"SG",21,2,1434
5,1,2014,"SG",3,3,1435
5,1,2015,"SG",14,3,1436
5,1,2016,"SG",24,3,1438
5,1,2017,"SG",6,4,1438
5,2,2012,"SG",12,3,1433
5,2,2013,"SG",23,3,1434
5,2,2014,"SG",4,4,1435
5,2,2015,"SG",15,4,1436
5,2,2016,"SG",26,4,1438
5,2,2017,"SG",8,5,1438
5,3,2012,"SG",12,4,1433
5,3,2013,"SG",22,4,1434
5,3,2014,"SG",3,5,1435
5,3,2015,"SG",14,5,1436
5,3,2016,"SG",25,5,1438
5,3,2017,"SG",6,6,1438
5,4,2012,"SG",13,5,1433
5,4,2013,"SG",24,5,1434
